Date,Carrier,FlightNumber,Origin,Destination,ScheduledDeparture,DepartureTime,DepartureDelay,TaxiOut,WheelsOff,ScheduledArrival,ArrivalTime,ArrivalDelay,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2026-03-17,B6,B68754,ORD,LAS,0156,0156,0,27,0223,0457,0455,-2.0,141,1128,0,0,0,0,0
2026-01-12,WN,WN7656,DEN,LAX,1225,1225,0,10,1235,1737,1726,-11.0,272,2176,0,0,0,0,0
2026-02-01,AA,AA8088,ATL,LAS,1105,1350,165,17,1407,1508,1726,138.0,203,1624,133,4,1,0,0
2026-04-06,WN,WN1200,LAX,SFO,1528,1528,0,16,1544,2203,2138,-25.0,355,2840,0,0,0,0,0
2026-03-28,AS,AS2036,DFW,SFO,0819,0819,0,11,0830,1455,1418,-37.0,356,2848,0,0,0,0,0
2026-04-18,DL,DL5291,DFW,DEN,2342,2342,0,11,2353,0550,0525,-25.0,328,2624,0,0,0,0,0
2026-02-03,UA,UA6206,ORD,JFK,0950,0950,0,29,1019,1506,1453,-13.0,276,2208,0,0,0,0,0
2026-02-12,B6,B62377,SFO,DEN,1346,1346,0,29,1415,1856,1858,2.0,270,2160,0,0,0,0,0
2026-04-05,WN,WN1891,JFK,SFO,0524,0524,0,21,0545,0820,0800,-20.0,136,1088,0,0,0,0,0
2026-03-16,WN,WN9637,SFO,LAX,0100,0100,0,12,0112,0501,0437,-24.0,201,1608,0,0,0,0,0
2026-04-16,UA,UA2823,JFK,DFW,1755,1914,79,20,1934,2306,2356,50.0,271,2168,40,7,3,0,0
2026-03-19,AS,AS677,LAX,ATL,1832,1832,0,28,1900,2026,2004,-22.0,74,592,0,0,0,0,0
2026-01-05,DL,DL7873,LAX,DEN,0700,0700,0,18,0718,1125,1113,-12.0,225,1800,0,0,0,0,0
2026-04-23,UA,UA7899,DEN,ATL,0253,0253,0,13,0306,0435,0358,-37.0,62,496,0,0,0,0,0
2026-01-29,WN,WN5566,ATL,LAS,1117,1117,0,15,1132,1431,1408,-23.0,154,1232,0,0,0,0,0
2026-04-23,WN,WN2725,CLT,LAX,2231,2231,0,19,2250,0458,0431,-27.0,347,2776,0,0,0,0,0
2026-01-12,B6,B61637,JFK,ATL,0332,0602,150,10,0612,0629,0839,130.0,137,1096,45,26,59,0,0
2026-03-14,UA,UA5232,DFW,JFK,0305,0305,0,25,0330,0801,0746,-15.0,256,2048,0,0,0,0,0
2026-01-05,AA,AA6056,JFK,CLT,2043,2129,46,28,2157,2228,2322,54.0,65,520,32,19,3,0,0
2026-03-03,WN,WN846,LAX,JFK,0822,0822,0,14,0836,1048,1035,-13.0,106,848,0,0,0,0,0
2026-02-12,WN,WN3996,SEA,ORD,1200,1200,0,29,1229,1352,1352,0.0,72,576,0,0,0,0,0
2026-01-19,UA,UA7189,JFK,ORD,1217,1227,10,27,1254,1840,1833,-7.0,343,2744,0,0,0,0,0
2026-04-12,DL,DL5387,SEA,JFK,0012,0012,0,10,0022,0321,0301,-20.0,149,1192,0,0,0,0,0
2026-04-15,AA,AA5969,LAS,CLT,1649,1649,0,28,1717,1944,1922,-22.0,135,1080,0,0,0,0,0
2026-02-05,UA,UA5073,DFW,ATL,0300,0300,0,25,0325,0803,0752,-11.0,263,2104,0,0,0,0,0
2026-03-26,AS,AS6419,ORD,SEA,0944,0944,0,13,0957,1209,1132,-37.0,105,840,0,0,0,0,0
2026-04-06,AA,AA5383,SFO,CLT,0841,0841,0,15,0856,1313,1250,-23.0,232,1856,0,0,0,0,0
2026-03-27,B6,B67882,CLT,LAX,0436,0508,32,23,0531,0958,1015,17.0,282,2256,7,3,7,0,0
2026-04-07,DL,DL2869,ORD,SEA,0409,0409,0,11,0420,0904,0834,-30.0,255,2040,0,0,0,0,0
2026-01-13,DL,DL9969,LAX,DEN,2122,2256,94,25,2321,0043,0204,81.0,161,1288,46,22,13,0,0
2026-03-09,AS,AS5629,ATL,SFO,1347,1347,0,28,1415,1902,1845,-17.0,275,2200,0,0,0,0,0
2026-02-04,AS,AS4779,DEN,ATL,1446,1446,0,18,1504,1752,1737,-15.0,146,1168,0,0,0,0,0
2026-04-15,UA,UA2955,SFO,ATL,1359,1552,113,10,1602,1604,1728,84.0,85,680,7,17,60,0,0
2026-04-08,B6,B64776,ATL,CLT,1337,1337,0,22,1359,1625,1617,-8.0,128,1024,0,0,0,0,0
2026-03-16,AA,AA8727,DFW,LAX,1125,1327,122,11,1338,1547,1720,93.0,222,1776,1,89,3,0,0
2026-04-14,AS,AS1226,JFK,LAS,1626,1626,0,16,1642,2240,2233,-7.0,334,2672,0,0,0,0,0
2026-04-02,B6,B65039,DFW,LAX,2259,2259,0,16,2315,0353,0321,-32.0,254,2032,0,0,0,0,0
2026-02-18,UA,UA5876,CLT,JFK,0958,0958,0,17,1015,1322,1255,-27.0,164,1312,0,0,0,0,0
2026-03-08,AA,AA4031,LAS,DEN,2338,2338,0,13,2351,0359,0331,-28.0,221,1768,0,0,0,0,0
2026-04-08,WN,WN8656,CLT,DFW,0735,0735,0,30,0805,1113,1106,-7.0,178,1424,0,0,0,0,0
2026-03-16,AS,AS9006,SFO,ORD,0358,0505,67,18,0523,0706,0807,61.0,148,1184,44,2,15,0,0
2026-02-05,UA,UA6354,CLT,LAS,1806,1806,0,21,1827,1959,1941,-18.0,73,584,0,0,0,0,0
2026-04-01,UA,UA1090,DFW,LAS,0254,0311,17,11,0322,0642,0627,-15.0,188,1504,0,0,0,0,0
2026-01-06,AS,AS7675,ATL,SFO,1613,1613,0,10,1623,2217,2158,-19.0,324,2592,0,0,0,0,0
2026-04-07,UA,UA5325,LAS,DFW,0351,0351,0,18,0409,0712,0657,-15.0,161,1288,0,0,0,0,0
2026-04-07,WN,WN6475,DFW,LAS,0844,0844,0,21,0905,1350,1331,-19.0,266,2128,0,0,0,0,0
2026-03-30,AA,AA7946,LAX,LAS,0615,0615,0,15,0630,1202,1153,-9.0,307,2456,0,0,0,0,0
2026-01-01,AA,AA8726,ORD,ATL,2148,2148,0,22,2210,2359,2355,-4.0,91,728,0,0,0,0,0
2026-03-14,WN,WN5469,DFW,ATL,0640,0640,0,10,0650,1236,1204,-32.0,316,2528,0,0,0,0,0
2026-03-17,DL,DL709,ORD,DFW,0312,0312,0,15,0327,0555,0540,-15.0,123,984,0,0,0,0,0
2026-01-22,WN,WN1790,LAS,DFW,1907,1907,0,16,1923,2214,2206,-8.0,147,1176,0,0,0,0,0
2026-01-29,WN,WN900,DFW,DEN,0315,0425,70,14,0439,0519,0558,39.0,84,672,8,13,18,0,0
2026-02-21,DL,DL7804,CLT,SEA,0203,0203,0,30,0233,0438,0423,-15.0,115,920,0,0,0,0,0
2026-01-05,AA,AA8450,JFK,CLT,0247,0421,94,14,0435,0526,0646,80.0,119,952,68,4,8,0,0
2026-01-09,B6,B65083,DFW,SFO,1001,1001,0,10,1011,1213,1142,-31.0,92,736,0,0,0,0,0
2026-04-02,UA,UA763,CLT,SFO,1451,1451,0,19,1510,1837,1815,-22.0,186,1488,0,0,0,0,0
2026-04-21,B6,B62224,DFW,CLT,1228,1228,0,25,1253,1809,1757,-12.0,301,2408,0,0,0,0,0
2026-01-11,B6,B66709,CLT,SFO,1838,1838,0,14,1852,2040,2008,-32.0,82,656,0,0,0,0,0
2026-01-03,AA,AA4344,DFW,ATL,1400,1400,0,29,1429,1915,1917,2.0,275,2200,0,0,0,0,0
2026-01-10,AA,AA2232,ATL,SFO,1952,1952,0,24,2016,2332,2334,2.0,180,1440,0,0,0,0,0
2026-01-02,WN,WN731,DEN,DFW,0211,0211,0,15,0226,0405,0353,-12.0,74,592,0,0,0,0,0
2026-05-01,B6,B64122,LAX,SFO,0129,0129,0,26,0155,0642,0623,-19.0,273,2184,0,0,0,0,0
2026-02-22,B6,B62477,LAS,ATL,2127,0027,180,19,0046,0359,0645,166.0,352,2816,148,5,13,0,0
2026-01-07,AA,AA6133,DEN,ATL,0043,0043,0,29,0112,0305,0245,-20.0,102,816,0,0,0,0,0
2026-02-05,UA,UA5220,JFK,LAS,0143,0420,157,22,0442,0740,1017,157.0,317,2536,40,112,5,0,0
2026-03-31,AA,AA360,ATL,ORD,2022,2022,0,18,2040,0056,0040,-16.0,234,1872,0,0,0,0,0
2026-01-11,DL,DL3562,SFO,DEN,0223,0223,0,21,0244,0800,0750,-10.0,297,2376,0,0,0,0,0
2026-01-09,AA,AA8350,ORD,SEA,1734,1734,0,28,1802,2245,2237,-8.0,271,2168,0,0,0,0,0
2026-02-25,UA,UA4502,SFO,ATL,1916,2045,89,11,2056,2155,2250,55.0,119,952,1,13,41,0,0
2026-03-03,UA,UA9000,JFK,CLT,2050,2050,0,16,2106,0159,0152,-7.0,269,2152,0,0,0,0,0
2026-04-25,AA,AA1463,CLT,DEN,1248,1523,155,20,1543,1645,1910,145.0,197,1576,133,12,0,0,0
2026-01-25,UA,UA8245,ATL,SFO,1552,1552,0,28,1620,2136,2121,-15.0,304,2432,0,0,0,0,0
2026-01-08,B6,B6770,SEA,SFO,1442,1442,0,12,1454,1805,1742,-23.0,163,1304,0,0,0,0,0
2026-01-24,DL,DL4182,SFO,DFW,1442,1442,0,20,1502,1752,1724,-28.0,150,1200,0,0,0,0,0
2026-03-23,AS,AS8106,LAX,ORD,1152,1440,168,18,1458,1429,1645,136.0,117,936,81,50,5,0,0
2026-01-10,B6,B64054,ATL,SFO,1051,1051,0,15,1106,1450,1443,-7.0,199,1592,0,0,0,0,0
2026-02-21,AA,AA9621,LAX,JFK,1551,1551,0,17,1608,2129,2121,-8.0,298,2384,0,0,0,0,0
2026-02-20,UA,UA6525,LAS,LAX,0637,0637,0,30,0707,1240,1246,6.0,323,2584,0,0,0,0,0
2026-03-25,DL,DL8312,SFO,SEA,1231,1257,26,29,1326,1615,1634,19.0,184,1472,7,7,5,0,0
2026-01-02,B6,B68516,DFW,LAS,2342,2342,0,19,0001,0529,0508,-21.0,307,2456,0,0,0,0,0
2026-01-25,WN,WN1259,DEN,SEA,2243,0104,141,15,0119,0506,0712,126.0,343,2744,122,3,1,0,0
2026-03-03,WN,WN2933,SFO,DEN,0924,1018,54,14,1032,1336,1411,35.0,212,1696,34,1,0,0,0
2026-02-14,UA,UA1314,LAX,ATL,2358,2358,0,15,0013,0329,0322,-7.0,171,1368,0,0,0,0,0
2026-01-05,AS,AS1280,ORD,DFW,2058,2058,0,20,2118,0327,0309,-18.0,349,2792,0,0,0,0,0
2026-02-28,AS,AS8272,DEN,CLT,0039,0039,0,25,0104,0232,0217,-15.0,73,584,0,0,0,0,0
2026-04-23,UA,UA1828,ORD,SFO,0750,0750,0,20,0810,1300,1236,-24.0,270,2160,0,0,0,0,0
2026-04-05,DL,DL1957,SEA,JFK,2036,2036,0,16,2052,2326,2320,-6.0,130,1040,0,0,0,0,0
2026-04-07,AS,AS4670,JFK,ORD,1812,1823,11,19,1842,2147,2133,-14.0,175,1400,0,0,0,0,0
2026-03-17,WN,WN4716,DFW,ORD,0520,0520,0,30,0550,1026,1008,-18.0,266,2128,0,0,0,0,0
2026-02-05,DL,DL8020,DFW,LAS,1042,1042,0,28,1110,1603,1542,-21.0,281,2248,0,0,0,0,0
2026-03-20,WN,WN9646,LAS,ATL,0517,0757,160,20,0817,0715,0928,133.0,78,624,108,6,19,0,0
2026-02-02,AA,AA5795,DFW,CLT,1251,1440,109,28,1508,1902,2036,94.0,331,2648,67,4,23,0,0
2026-02-23,DL,DL699,SEA,LAS,2002,2002,0,23,2025,2221,2201,-20.0,99,792,0,0,0,0,0
2026-01-01,AA,AA1805,JFK,DEN,1135,1340,125,19,1359,1456,1648,112.0,161,1288,12,15,85,0,0
2026-01-15,WN,WN5062,CLT,ATL,0650,0650,0,30,0720,1119,1123,4.0,229,1832,0,0,0,0,0
2026-02-28,UA,UA4738,ORD,CLT,2229,2317,48,25,2342,0504,0540,36.0,355,2840,8,0,28,0,0
2026-01-12,AS,AS7492,ORD,ATL,1722,1722,0,24,1746,1947,1931,-16.0,105,840,0,0,0,0,0
2026-02-26,UA,UA5636,CLT,LAX,0340,0615,155,11,0626,0558,0807,129.0,98,784,98,27,4,0,0
2026-03-14,B6,B66880,ATL,LAS,2208,2208,0,21,2229,0244,0221,-23.0,236,1888,0,0,0,0,0
2026-04-08,AA,AA8386,ORD,JFK,1318,1318,0,29,1347,1740,1733,-7.0,222,1776,0,0,0,0,0
2026-02-20,WN,WN155,ORD,ATL,1325,1502,97,16,1518,1941,2107,86.0,336,2688,62,18,6,0,0
2026-02-24,UA,UA1302,SEA,DFW,2056,2056,0,13,2109,0311,0251,-20.0,335,2680,0,0,0,0,0
2026-04-22,B6,B69301,SFO,ATL,2343,2343,0,24,0007,0440,0437,-3.0,257,2056,0,0,0,0,0
2026-02-16,AS,AS3603,JFK,LAX,0136,0136,0,21,0157,0742,0714,-28.0,326,2608,0,0,0,0,0
2026-04-08,AA,AA4725,LAS,LAX,0621,0621,0,15,0636,1258,1229,-29.0,357,2856,0,0,0,0,0
2026-02-21,AS,AS5909,SEA,JFK,1506,1506,0,26,1532,1814,1814,0.0,148,1184,0,0,0,0,0
2026-01-04,AS,AS8970,CLT,DFW,1019,1019,0,21,1040,1528,1503,-25.0,269,2152,0,0,0,0,0
2026-02-22,DL,DL7006,SFO,DEN,0021,0021,0,30,0051,0254,0246,-8.0,113,904,0,0,0,0,0
2026-01-19,B6,B65898,ATL,SFO,2004,2004,0,12,2016,0237,0204,-33.0,353,2824,0,0,0,0,0
2026-01-05,UA,UA6344,JFK,ATL,1543,1543,0,23,1606,1923,1917,-6.0,180,1440,0,0,0,0,0
2026-04-11,AS,AS8900,SEA,ORD,0742,0742,0,15,0757,1056,1044,-12.0,154,1232,0,0,0,0,0
2026-01-17,DL,DL6679,SFO,DFW,0334,0617,163,23,0640,1011,1238,147.0,357,2856,105,31,11,0,0
2026-04-18,AS,AS6730,JFK,DFW,0920,0920,0,12,0932,1540,1524,-16.0,340,2720,0,0,0,0,0
2026-01-20,DL,DL8888,DFW,ORD,0515,0515,0,27,0542,0655,0645,-10.0,60,480,0,0,0,0,0
2026-04-04,WN,WN8238,LAX,CLT,0547,0547,0,24,0611,0736,0718,-18.0,69,552,0,0,0,0,0
2026-02-19,B6,B63020,SEA,SFO,1443,1622,99,29,1651,2121,2301,100.0,358,2864,64,20,16,0,0
2026-01-14,UA,UA4423,ATL,LAS,1400,1400,0,11,1411,2017,1951,-26.0,337,2696,0,0,0,0,0
2026-03-03,AS,AS8585,SEA,LAS,0551,0551,0,24,0615,0929,0928,-1.0,178,1424,0,0,0,0,0
2026-01-08,UA,UA9068,DEN,ATL,2054,2054,0,13,2107,0228,0205,-23.0,294,2352,0,0,0,0,0
2026-05-01,AS,AS4550,SFO,DFW,0516,0516,0,24,0540,1029,1015,-14.0,273,2184,0,0,0,0,0
2026-03-14,AA,AA5111,CLT,SEA,1058,1137,39,22,1159,1434,1452,18.0,176,1408,2,12,4,0,0
2026-03-20,B6,B66345,LAS,ATL,1523,1523,0,29,1552,2145,2129,-16.0,342,2736,0,0,0,0,0
2026-04-21,B6,B68864,ATL,SFO,0116,0116,0,25,0141,0509,0505,-4.0,193,1544,0,0,0,0,0
2026-02-19,B6,B68348,DFW,SEA,0613,0613,0,30,0643,0831,0832,1.0,98,784,0,0,0,0,0
2026-01-20,DL,DL831,LAX,JFK,1119,1119,0,29,1148,1350,1348,-2.0,111,888,0,0,0,0,0
2026-03-27,WN,WN4377,LAX,SEA,2014,2014,0,14,2028,0003,2352,-11.0,189,1512,0,0,0,0,0
2026-02-01,DL,DL847,DFW,JFK,0914,1141,147,27,1208,1550,1812,142.0,356,2848,125,2,15,0,0
2026-04-05,AA,AA6451,LAX,JFK,2338,0031,53,18,0049,0305,0335,30.0,167,1336,0,27,3,0,0
2026-04-09,AS,AS222,ORD,SEA,2244,0113,149,13,0126,0024,0218,114.0,60,480,64,46,4,0,0
2026-04-12,AA,AA2211,LAS,SEA,1501,1501,0,26,1527,2046,2028,-18.0,305,2440,0,0,0,0,0
2026-02-12,AA,AA3635,DEN,LAS,1032,1032,0,23,1055,1541,1537,-4.0,269,2152,0,0,0,0,0
2026-04-28,WN,WN7866,DFW,JFK,1629,1629,0,23,1652,1955,1929,-26.0,166,1328,0,0,0,0,0
2026-03-03,UA,UA4711,ATL,LAS,1851,1851,0,16,1907,0002,2350,-12.0,271,2168,0,0,0,0,0
2026-04-05,B6,B62225,LAS,LAX,0939,1200,141,23,1223,1437,1655,138.0,258,2064,50,65,23,0,0
2026-02-04,DL,DL9935,ORD,LAX,1449,1449,0,12,1501,1926,1917,-9.0,237,1896,0,0,0,0,0
2026-04-04,DL,DL8676,CLT,DFW,0241,0259,18,22,0321,0612,0622,10.0,171,1368,0,0,0,0,0
2026-03-22,WN,WN1754,LAX,JFK,1358,1358,0,18,1416,1914,1855,-19.0,276,2208,0,0,0,0,0
2026-01-22,UA,UA1167,LAX,ATL,1801,1801,0,18,1819,2126,2056,-30.0,165,1320,0,0,0,0,0
2026-02-08,WN,WN7811,SEA,LAX,1242,1242,0,17,1259,1629,1556,-33.0,187,1496,0,0,0,0,0
2026-04-10,AA,AA1580,DFW,SFO,0605,0858,173,23,0921,0947,1231,164.0,182,1456,3,14,147,0,0
2026-04-20,AS,AS4427,LAS,ORD,1003,1003,0,20,1023,1637,1631,-6.0,354,2832,0,0,0,0,0
2026-02-10,B6,B68057,JFK,ATL,0537,0537,0,18,0555,0726,0655,-31.0,69,552,0,0,0,0,0
2026-01-03,DL,DL2957,CLT,SFO,0617,0617,0,14,0631,0841,0832,-9.0,104,832,0,0,0,0,0
2026-03-11,AS,AS3554,SEA,SFO,2002,2023,21,21,2044,2356,0001,5.0,194,1552,0,0,0,0,0
2026-03-26,UA,UA2120,DEN,SFO,0012,0012,0,21,0033,0506,0503,-3.0,254,2032,0,0,0,0,0
2026-04-09,AS,AS9697,LAS,DEN,1836,1836,0,14,1850,2122,2057,-25.0,126,1008,0,0,0,0,0
2026-03-23,B6,B6118,ATL,ORD,0111,0111,0,16,0127,0306,0259,-7.0,75,600,0,0,0,0,0
2026-01-29,AS,AS5982,SFO,DEN,1939,1939,0,29,2008,2152,2131,-21.0,93,744,0,0,0,0,0
2026-01-24,B6,B68343,JFK,ORD,0427,0427,0,16,0443,0901,0834,-27.0,234,1872,0,0,0,0,0
2026-03-01,WN,WN9644,LAX,CLT,0843,0843,0,10,0853,1053,1035,-18.0,90,720,0,0,0,0,0
2026-03-21,WN,WN3982,LAS,ORD,1753,1753,0,18,1811,2020,1958,-22.0,107,856,0,0,0,0,0
2026-02-02,UA,UA6173,LAX,ORD,0114,0114,0,12,0126,0723,0711,-12.0,329,2632,0,0,0,0,0
2026-02-28,DL,DL9553,ORD,SEA,0019,0019,0,15,0034,0511,0436,-35.0,252,2016,0,0,0,0,0
2026-01-12,WN,WN2910,LAS,SFO,2150,0037,167,11,0048,0353,0602,129.0,323,2584,67,9,53,0,0
2026-03-29,UA,UA3170,SEA,ATL,2258,0003,65,27,0030,0149,0257,68.0,131,1048,57,3,8,0,0
2026-01-16,B6,B63197,SEA,ORD,1910,1918,8,18,1936,0100,0054,-6.0,310,2480,0,0,0,0,0
2026-03-31,AA,AA472,SEA,ATL,0018,0018,0,22,0040,0622,0624,2.0,324,2592,0,0,0,0,0
2026-04-01,WN,WN1375,DFW,CLT,2330,2330,0,27,2357,0303,0250,-13.0,173,1384,0,0,0,0,0
2026-02-05,B6,B69198,LAX,SEA,1413,1413,0,24,1437,1740,1725,-15.0,167,1336,0,0,0,0,0
2026-01-11,UA,UA2494,LAS,DFW,1253,1253,0,23,1316,1500,1436,-24.0,87,696,0,0,0,0,0
2026-01-25,WN,WN473,ATL,SFO,1448,1631,103,27,1658,2126,2257,91.0,358,2864,39,12,40,0,0
2026-02-03,DL,DL239,LAX,DEN,1235,1235,0,30,1305,1612,1616,4.0,177,1416,0,0,0,0,0
2026-02-03,WN,WN4985,SEA,ATL,2151,2151,0,16,2207,0122,0059,-23.0,171,1368,0,0,0,0,0
2026-02-08,DL,DL9992,DEN,DFW,1851,2048,117,13,2101,2055,2220,85.0,84,672,78,6,1,0,0
2026-04-26,AS,AS1708,CLT,ORD,1404,1404,0,23,1427,1835,1823,-12.0,231,1848,0,0,0,0,0
2026-04-04,DL,DL6976,DFW,LAS,0444,0444,0,15,0459,0720,0656,-24.0,116,928,0,0,0,0,0
2026-03-03,AA,AA782,DFW,SFO,0207,0207,0,25,0232,0809,0752,-17.0,322,2576,0,0,0,0,0
2026-01-08,WN,WN7304,JFK,LAS,1804,1847,43,29,1916,2147,2222,35.0,183,1464,3,10,22,0,0
2026-02-26,B6,B68006,ATL,SEA,0056,0227,91,24,0251,0250,0422,92.0,74,592,53,12,27,0,0
2026-01-19,B6,B63896,CLT,DFW,2317,2317,0,28,2345,0220,0211,-9.0,143,1144,0,0,0,0,0
2026-02-24,AA,AA746,DEN,JFK,1913,1913,0,27,1940,2122,2113,-9.0,89,712,0,0,0,0,0
2026-02-16,AA,AA6234,DEN,CLT,1650,1726,36,28,1754,1927,2007,40.0,117,936,35,4,1,0,0
2026-04-30,DL,DL106,LAX,SEA,1538,1538,0,24,1602,1743,1719,-24.0,85,680,0,0,0,0,0
2026-01-01,DL,DL7559,ORD,DFW,2102,2102,0,13,2115,2341,2325,-16.0,119,952,0,0,0,0,0
2026-01-05,UA,UA1782,SFO,DEN,1547,1547,0,29,1616,2022,2031,9.0,235,1880,0,0,0,0,0
2026-01-03,AS,AS2105,SFO,DEN,0818,0945,87,25,1010,1059,1220,81.0,121,968,36,11,34,0,0
2026-03-16,B6,B68923,DEN,LAX,0558,0558,0,11,0609,0842,0819,-23.0,124,992,0,0,0,0,0
2026-02-01,WN,WN4911,LAX,DEN,2329,2329,0,28,2357,0515,0500,-15.0,306,2448,0,0,0,0,0
2026-04-22,AS,AS185,LAS,DEN,0605,0810,125,10,0820,1001,1153,112.0,196,1568,105,6,1,0,0
2026-02-15,WN,WN5052,LAS,CLT,1844,1844,0,15,1859,0050,0032,-18.0,326,2608,0,0,0,0,0
2026-03-11,WN,WN2795,DEN,LAS,1752,1830,38,29,1859,2017,2054,37.0,105,840,13,10,14,0,0
2026-01-13,AS,AS4156,ATL,LAX,0236,0236,0,16,0252,0442,0414,-28.0,86,688,0,0,0,0,0
2026-01-23,B6,B69670,DEN,LAX,0057,0057,0,18,0115,0331,0326,-5.0,114,912,0,0,0,0,0
2026-04-29,AA,AA6999,LAS,SFO,1229,1304,35,16,1320,1817,1829,12.0,308,2464,0,0,0,0,0
