# ===== SKYLYTICS MOCK DATA — SEA (Seattle-Tacoma International) =====
# Matches ConnectedMockData.swift deterministic values

## DASHBOARD STATS
active_nodes,high_risk_count,est_impact_minutes,net_sync
2298,621,6.4,0.52

## HOURLY DELAY PATTERN (avg minutes per hour)
01:00,03:00,05:00,07:00,09:00,11:00,13:00,15:00,17:00,19:00,21:00,23:00
10,15,21,31,26,39,35,46,50,38,20,12

## TOP RISK ROUTES
origin,destination,risk_score,avg_delay_minutes
SEA,MIA,0.47,36
SEA,BOS,0.64,43
SEA,LGA,0.81,50
SEA,PHX,0.38,17
SEA,IAH,0.55,24

## FLIGHTS (42 departing + 14 arriving = 42 total)
id,callsign,airline,airline_code,flight_direction,origin,destination,dep_time,status,delay_minutes,delay_probability_%,progress_%,altitude_ft,speed_kts,aircraft_type,tail_number,gate
CM-321,DL421,Delta,DL,departing,SEA,DEN,06:09,delayed,74,89.0,50.0,40000,510,Airbus A321neo,N647SK,C28
CM-323,NK423,Spirit,NK,departing,SEA,BOS,10:23,atRisk,88,91.0,60.0,42000,390,Embraer E175,N649SK,E30
CM-326,AS426,Alaska Airlines,AS,departing,SEA,IAH,16:44,atRisk,24,94.0,75.0,30000,420,Boeing 777,N652SK,C3
CM-328,AA428,American Airlines,AA,departing,SEA,DTW,20:58,delayed,38,56.0,85.0,32000,440,Boeing 737 MAX 8,N654SK,E5
CM-331,DL431,Delta,DL,departing,SEA,ATL,08:19,atRisk,59,59.0,10.0,35000,470,Airbus A320,N657SK,C8
CM-333,NK433,Spirit,NK,departing,SEA,SFO,12:33,delayed,73,61.0,20.0,37000,490,Airbus A321neo,N659SK,E10
CM-6,HA106,Hawaiian,HA,arriving,JFK,SEA,18:42,delayed,62,61.0,35.0,34000,440,Boeing 737-800,N206SK,B7
CM-34,UA134,United,UA,arriving,JFK,SEA,20:58,delayed,88,89.0,85.0,32000,440,Boeing 737 MAX 8,N234SK,E5
CM-102,HA202,Hawaiian,HA,arriving,ATL,SEA,06:06,delayed,71,75.0,5.0,31000,420,Boeing 737-800,N338SK,D19
CM-116,DL216,Delta,DL,arriving,ATL,SEA,16:44,atRisk,84,89.0,75.0,30000,420,Boeing 777,N352SK,C3
CM-129,DL229,Delta,DL,arriving,ORD,SEA,12:21,delayed,56,61.0,20.0,31000,410,Airbus A321neo,N383SK,D4
CM-143,UA243,United,UA,arriving,ORD,SEA,22:59,atRisk,69,75.0,90.0,30000,410,Embraer E175,N397SK,C18
CM-170,B6270,JetBlue,B6,arriving,SFO,SEA,10:14,atRisk,54,61.0,15.0,30000,400,Boeing 777,N442SK,C3
CM-294,G4394,Allegiant,G4,departing,SEA,MIA,06:00,inAir,0,12.0,5.0,28000,380,Boeing 737-800,N620SK,A1
CM-295,UA395,United,UA,departing,SEA,BOS,08:07,inAir,3,13.0,10.0,29000,390,Airbus A320,N621SK,B2
CM-298,AA398,American Airlines,AA,departing,SEA,IAH,14:28,inAir,12,16.0,25.0,32000,420,Boeing 737 MAX 8,N624SK,E5
CM-299,B6399,JetBlue,B6,departing,SEA,MSP,16:35,inAir,1,17.0,30.0,33000,430,Embraer E175,N625SK,A6
CM-301,DL401,Delta,DL,departing,SEA,JFK,20:49,inAir,7,19.0,40.0,35000,450,Airbus A320,N627SK,C8
CM-303,NK403,Spirit,NK,departing,SEA,ATL,06:03,inAir,13,21.0,50.0,37000,470,Airbus A321neo,N629SK,E10
CM-304,G4404,Allegiant,G4,departing,SEA,ORD,08:10,inAir,2,22.0,55.0,38000,480,Boeing 737 MAX 8,N630SK,A11
CM-306,AS406,Alaska Airlines,AS,departing,SEA,DFW,12:24,inAir,8,24.0,65.0,40000,500,Boeing 737-800,N632SK,C13
CM-309,B6409,JetBlue,B6,departing,SEA,BOS,18:45,inAir,3,27.0,80.0,28000,390,Airbus A321neo,N635SK,A16
CM-310,F9410,Frontier,F9,departing,SEA,LGA,20:52,inAir,6,28.0,85.0,29000,400,Boeing 737 MAX 8,N636SK,B17
CM-313,NK413,Spirit,NK,departing,SEA,MSP,08:13,inAir,1,31.0,10.0,32000,430,Airbus A320,N639SK,E20
CM-315,UA415,United,UA,departing,SEA,JFK,12:27,inAir,7,5.0,20.0,34000,450,Airbus A321neo,N641SK,B22
CM-317,HA417,Hawaiian,HA,departing,SEA,ATL,16:41,inAir,13,7.0,30.0,36000,470,Embraer E175,N643SK,D24
CM-319,B6419,JetBlue,B6,departing,SEA,SFO,20:55,inAir,5,9.0,40.0,38000,490,Airbus A320,N645SK,A26
CM-320,F9420,Frontier,F9,departing,SEA,DFW,22:02,inAir,8,10.0,45.0,39000,500,Boeing 777,N646SK,B27
CM-322,WN422,Southwest,WN,departing,SEA,MIA,08:16,inAir,0,12.0,55.0,41000,380,Boeing 737 MAX 8,N648SK,D29
CM-324,G4424,Allegiant,G4,departing,SEA,LGA,12:30,inAir,6,14.0,65.0,28000,400,Boeing 737-800,N650SK,A1
CM-327,HA427,Hawaiian,HA,departing,SEA,MSP,18:51,inAir,1,17.0,80.0,31000,430,Airbus A321neo,N653SK,D4
CM-329,B6429,JetBlue,B6,departing,SEA,JFK,22:05,inAir,7,19.0,90.0,33000,450,Embraer E175,N655SK,A6
