# ===== SKYLYTICS MOCK DATA — DFW (Dallas Fort Worth International) =====
# Matches ConnectedMockData.swift deterministic values

## DASHBOARD STATS
active_nodes,high_risk_count,est_impact_minutes,net_sync
2087,534,5.9,0.58

## HOURLY DELAY PATTERN (avg minutes per hour)
01:00,03:00,05:00,07:00,09:00,11:00,13:00,15:00,17:00,19:00,21:00,23:00
8,13,20,30,24,36,32,41,45,33,17,9

## TOP RISK ROUTES
origin,destination,risk_score,avg_delay_minutes
DFW,DEN,0.85,30
DFW,SEA,0.42,37
DFW,MIA,0.59,44
DFW,BOS,0.76,51
DFW,LGA,0.33,18

## FLIGHTS (42 departing + 14 arriving = 42 total)
id,callsign,airline,airline_code,flight_direction,origin,destination,dep_time,status,delay_minutes,delay_probability_%,progress_%,altitude_ft,speed_kts,aircraft_type,tail_number,gate
CM-222,AA322,American Airlines,AA,departing,DFW,ORD,12:24,inAir,8,22.0,65.0,40000,500,Boeing 737-800,N512SK,C13
CM-225,DL325,Delta,DL,departing,DFW,SEA,18:45,inAir,3,25.0,80.0,28000,390,Airbus A321neo,N515SK,A16
CM-226,WN326,Southwest,WN,departing,DFW,MIA,20:52,inAir,6,26.0,85.0,29000,400,Boeing 737 MAX 8,N516SK,B17
CM-229,UA329,United,UA,departing,DFW,PHX,08:13,inAir,1,29.0,10.0,32000,430,Airbus A320,N519SK,E20
CM-231,HA331,Hawaiian,HA,departing,DFW,MSP,12:27,inAir,7,31.0,20.0,34000,450,Airbus A321neo,N521SK,B22
CM-233,B6333,JetBlue,B6,departing,DFW,JFK,16:41,inAir,13,5.0,30.0,36000,470,Embraer E175,N523SK,D24
CM-235,DL335,Delta,DL,departing,DFW,ATL,20:55,inAir,5,7.0,40.0,38000,490,Airbus A320,N525SK,A26
CM-236,WN336,Southwest,WN,departing,DFW,ORD,22:02,inAir,8,8.0,45.0,39000,500,Boeing 777,N526SK,B27
CM-238,G4338,Allegiant,G4,departing,DFW,DEN,08:16,inAir,0,10.0,55.0,41000,380,Boeing 737 MAX 8,N528SK,D29
CM-240,AS340,Alaska Airlines,AS,departing,DFW,MIA,12:30,inAir,6,12.0,65.0,28000,400,Boeing 737-800,N530SK,A1
CM-243,B6343,JetBlue,B6,departing,DFW,PHX,18:51,inAir,1,15.0,80.0,31000,430,Airbus A321neo,N533SK,D4
CM-245,DL345,Delta,DL,departing,DFW,MSP,22:05,inAir,7,17.0,90.0,33000,450,Embraer E175,N535SK,A6
CM-246,WN346,Southwest,WN,departing,DFW,DTW,06:12,inAir,10,18.0,5.0,34000,460,Boeing 737-800,N536SK,B7
